RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
947,4483852,4458971,HANGZHOU RIVERBANK EQUITY INVESTMENT PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
948,4792732,4483852,SHANGHAI SHUNXIN INVESTMENT CENTER,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
949,5034868,4792732,CHANGDI PRIVATE EQUITY I FORTUNE LIMITED,International Nonbank Sub of Domestic Entities,ROAD TOWN,BRITISH VIRGIN ISLANDS                  
950,4792732,4458971,SHANGHAI SHUNXIN INVESTMENT CENTER,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
951,5147674,4367073,"HANGZHOU SHENGPAN INVESTMENT MANAGEMENT CO., LTD.",International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
952,5006856,5147674,HANGZHOU CHARM EQUITY INVESTMENT PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
953,5686221,5006856,SHANGHAI SHUNYING BUSINESS INFORMATION CONSULTANCY PARTNERSHIP,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
954,5686221,5147674,SHANGHAI SHUNYING BUSINESS INFORMATION CONSULTANCY PARTNERSHIP,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
955,5590467,4367073,"HANGZHOU SHENGJI ENTERPRISE MANAGEMENT CONSULTING CO., LTD.",International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
956,5615052,5590467,HANGZHOU XCELL EQUITY INVESTMENT PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
957,5590506,5615052,HANGZHOU CHANCE EQUITY INVESTMENT PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
958,5590506,5590467,HANGZHOU CHANCE EQUITY INVESTMENT PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
959,5590494,4367073,HANGZHOU MORGAN STANLEY CHANSON ENTERPRISE MANAGEMENT CONSULTING PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
960,5593459,5590494,HANGZHOU LONG RIVER EQUITY INVESTMENT PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
961,5709120,5593459,SHANGHAI SHUNMING BUSINESS INFORMATION CONSULTING PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
962,5709120,5590494,SHANGHAI SHUNMING BUSINESS INFORMATION CONSULTING PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
963,5613021,5590494,HANGZHOU XCEED EQUITY INVESTMENT PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
964,5593459,5613021,HANGZHOU LONG RIVER EQUITY INVESTMENT PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
965,5010125,4367073,HANGZHOU TAPPAN INVESTMENT CONSULTANCY PARTNERSHIP ENTITY (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
