RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
780,3207538,480228,"BANC OF AMERICA CDE, LLC",Domestic Entity Other,BALTIMORE,MD
781,5515639,480228,"BOA USB HTC FUND 2020-4, LLC",Domestic Entity Other,SAINT LOUIS,MO
782,5691775,480228,"TOPANGA CANYON SH, L.P.",Domestic Entity Other,SAN DIEGO,CA
783,5691766,480228,"CREA CORPORATE TAX CREDIT FUND 87, LP",Domestic Entity Other,INDIANAPOLIS,IN
784,5515648,480228,"RESIDENCES AT NORTH HILL BOND 47, THE LLC",Domestic Entity Other,CHRISTIANSBURG,VA
785,3789203,480228,"201 NORTH TRYON, LLC",Domestic Entity Other,CHARLOTTE,NC
786,5691757,480228,"AMERICAN TAX CREDIT FUND 2021-C, LLC",Domestic Entity Other,COLUMBUS,OH
787,5515620,480228,"ALLIANT TAX CREDIT FUND 103, LLC",Domestic Entity Other,WOODLAND HILLS,CA
788,4476872,480228,"CASITAS DE COLORES, LLC",Domestic Entity Other,ALBUQUERQUE,NM
789,3958719,480228,"WOODMONT APARTMENTS, LTD.",Domestic Entity Other,FORT WORTH,TX
790,5586910,480228,"LEGACY SQUARE, L.P.",Domestic Entity Other,RANCHO CUCAMONGA,CA
791,4925389,480228,EBH-NH HUFFMEISTER LP,Domestic Entity Other,HEMPSTEAD,TX
792,5066711,480228,"1760 BUSH, L.P.",Domestic Entity Other,SAN FRANCISCO,CA
793,5685215,480228,3000 POWELL LIMITED PARTNERSHIP,Domestic Entity Other,PORTLAND,OR
794,5586899,480228,"AMELIA COURT AT CREATIVE VILLAGE - PHASE II PARTNERS, LTD.",Domestic Entity Other,WINTER PARK,FL
795,4476881,480228,UTICA PLACE RESIDENTIAL LLC,Domestic Entity Other,LARCHMONT,NY
796,5685206,480228,"EDDYSTONE MASTER TENANT, LLC",Domestic Entity Other,DETROIT,MI
797,5586901,480228,MANOMET II LIMITED PARTNERSHIP,Domestic Entity Other,BOSTON,MA
798,5066720,480228,"JFK TOWER, L.P.",Domestic Entity Other,SAN FRANCISCO,CA
799,4476890,480228,HUDSON HOUSING TAX CREDIT FUND LIX LP,Domestic Entity Other,NEW YORK,NY
800,5066702,480228,"2698 CALIFORNIA, L.P.",Domestic Entity Other,SAN FRANCISCO,CA
801,5908419,480228,"AMERICAN TAX CREDIT FUND 2023-C, LLC",Domestic Entity Other,COLUMBUS,OH
802,4925398,480228,HARBOR PLACE AT MERRIMACK LLC,Domestic Entity Other,BOSTON,MA
803,5685194,480228,140 CLARENDON LL LIMITED PARTNERSHIP,Domestic Entity Other,BOSTON,MA
804,5099474,480228,2228 MLK LLC,Domestic Entity Other,RESTON,VA
805,4925361,480228,INDIAN TRAILS APARTMENTS LLC,Domestic Entity Other,BOSTON,MA
806,5633980,480228,"PALM VISTA, LP",Domestic Entity Other,LOS ANGELES,CA
807,5676987,480228,"MONARCH COMMONS, LLC",Domestic Entity Other,WEBSTER,NY
808,5537716,480228,"LOFTS ON LEMON DEVELOPMENT PARTNERS, LLC",Domestic Entity Other,BOCA RATON,FL
809,5066681,480228,"WESTBROOK HOUSING PARTNERS, L.P.",Domestic Entity Other,IRVINE,CA
810,3268566,480228,CORAL HILL LLC,Domestic Entity Other,CHARLOTTE,NC
811,2639730,3268566,"REGENT STREET II, INC.",Domestic Entity Other,CHARLOTTE,NC
812,4057114,3268566,"SPECIALIZED LENDING, LLC",Domestic Entity Other,DALLAS,TX
813,3438547,480228,U.S.A. INSTITUTIONAL TAX CREDIT FUND LIV L.P.,Domestic Entity Other,GREENWICH,CT
814,3958746,480228,"CATHERINE ARMS APARTMENTS LIHTC, LP",Domestic Entity Other,PHOENIX,AZ
815,5633971,480228,"HARMONY AT THE PARK ONE, LLC",Domestic Entity Other,OREGON,WI
