Event,EventDate,OtherInstitutionName,OtherInstitutionID,Notes
Acquisition,5/6/1972,CAROLINA BANK OF COMMERCE,76724,CAROLINA BANK OF COMMERCE transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,1/22/1972,"BANNER ELK BANK, THE",123329,"BANNER ELK BANK, THE transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. "
Acquisition,2/1/1971,BANK OF WASHINGTON,587127,BANK OF WASHINGTON transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,8/31/1970,"STATE COMMERCIAL BANK, THE",522324,"STATE COMMERCIAL BANK, THE transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. "
Acquisition,2/23/1970,MARION BANK AND TRUST COMPANY,948625,MARION BANK AND TRUST COMPANY transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,9/22/1969,STATE BANK & TRUST COMPANY,321527,STATE BANK & TRUST COMPANY transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,12/29/1967,COMMERCIAL AND INDUSTRIAL BANK,399124,COMMERCIAL AND INDUSTRIAL BANK transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,3/23/1965,TRYON BANK AND TRUST COMPANY,50724,TRYON BANK AND TRUST COMPANY transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,9/30/1963,"BANK OF CHAPEL HILL, THE",131427,"BANK OF CHAPEL HILL, THE transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. "
Acquisition,6/11/1962,BANK OF WILMINGTON,730026,BANK OF WILMINGTON transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,4/2/1962,BANK OF NORTH WILKESBORO,872720,BANK OF NORTH WILKESBORO transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,1/3/1961,FIRST NATIONAL BANK,536321,FIRST NATIONAL BANK transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
Acquisition,10/10/1960,"MERCHANTS AND FARMERS BANKOF STATESVILLE, INCORPORATED",43128,"MERCHANTS AND FARMERS BANKOF STATESVILLE, INCORPORATED transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. "
Acquisition,7/1/1960,SECURITY NATIONAL BANK OF GREENSBORO,595627,SECURITY NATIONAL BANK OF GREENSBORO transferred its assets to one or more institutions including AMERICAN COMMERCIAL BANK. 
Name Changed,7/1/1960,,,AMERICAN COMMERCIAL BANK changed to the new name NORTH CAROLINA NATIONAL BANK.
Institution Type Changed,7/1/1960,,,NORTH CAROLINA NATIONAL BANK changed from State Member Bank to National Bank.
Institution Established,1/1/1933,,,"AMERICAN COMMERCIAL BANK was established as a State Member Bank at No Address,CHARLOTTE, NC."
