RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
198,5618932,480228,"5TH AND HOWARD ASSOCIATES, L.P.",Domestic Entity Other,SAN FRANCISCO,CA
199,4672740,480228,"LANGSTON PARK APARTMENTS, LLC",Domestic Entity Other,CHRISTIANSBURG,VA
200,5491966,480228,"CARLTON VIEWS III, LLC",Domestic Entity Other,RICHMOND,VA
201,5618923,480228,"NODA MILL II MT, LLC",Domestic Entity Other,BOSTON,MA
202,5137639,480228,"PAUL WILLIAMS APARTMENTS, L.P.",Domestic Entity Other,LOS ANGELES,CA
203,5491939,480228,"WESTMINSTER WAY ASSOCIATES, LLC",Domestic Entity Other,ROCHESTER,NY
204,4889847,480228,"PRESTWICK-LH I, L.P.",Domestic Entity Other,ATLANTA,GA
205,4672759,480228,"LIHTC FUND 2014-2, LLC",Domestic Entity Other,ST. LOUIS,MO
206,5491948,480228,FLAMINGO APARTMENTS LLC,Domestic Entity Other,ANNAPOLIS,MD
207,5512535,480228,"MERCY HOUSING CALIFORNIA 87, L.P.",Domestic Entity Other,SAN FRANCISCO,CA
208,5528929,480228,NH WLY LP,Domestic Entity Other,HOUSTON,TX
209,5512544,480228,"BANC OF AMERICA HOUSING FUND XIII LIMITED PARTNERSHIP, LLLP, THE",Domestic Entity Other,COLUMBIA,MD
210,5111134,480228,UNION TERMINAL LLC,Domestic Entity Other,CINCINNATI,OH
211,2604327,480228,FLEET DEVELOPMENT VENTURES L.L.C.,Domestic Entity Other,BOSTON,MA
212,5610842,480228,"JERSEYVILLE DIAMOND DEVELOPMENT, LLC",Domestic Entity Other,LINCOLNWOOD,IL
213,3898673,480228,BOSTON NEGOCIOS E PARTICIPACOES LTDA.,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
214,5492039,480228,ST. LOUIS EQUITY FUND 2006 L.L.C.,Domestic Entity Other,ST. LOUIS,MO
215,4562270,480228,1100 OCEAN AVENUE LIMITED PARTNERSHIP,Domestic Entity Other,SAN FRANCISCO,CA
216,5512517,480228,"OT OWNER, LLC",Domestic Entity Other,WALTHAM,MA
217,5528901,480228,HUDSON HOUSING TAX CREDIT FUND XCVI LLC,Domestic Entity Other,NEW YORK,NY
218,5610833,480228,"HERITAGE SENIOR RESIDENCES, L.P.",Domestic Entity Other,MIAMI,FL
219,5528899,480228,TINTON FALLS VETERANS HOUSING LLC,Domestic Entity Other,BOSTON,MA
220,5512526,480228,YWCA CM MASTER TENANT LLC,Domestic Entity Other,WORCESTER,MA
221,5528910,480228,"SPRINGFIELD CROSSINGS, LLC",Domestic Entity Other,WINTER GARDEN,FL
222,5610824,480228,"NORTHLAKE SENIOR AFFORDABLE, LP",Domestic Entity Other,SACRAMENTO,CA
223,3898721,480228,"EAST LAKE/DECATUR RENTAL III, LP",Domestic Entity Other,CHICAGO,IL
224,4996400,480228,SHOE SHOP LIMITED PARTNERSHIP,Domestic Entity Other,EAST BOSTON,MA
225,5610815,480228,PARKSIDE APARTMENTS DELANO LP,Domestic Entity Other,BAKERSFIELD,CA
226,5492020,480228,ST. LOUIS EQUITY FUND 2007 L.L.C.,Domestic Entity Other,ST. LOUIS,MO
227,5610806,480228,"WRDG T3D, LP",Domestic Entity Other,TAMPA,FL
228,4996389,480228,U.S.A. INSTITUTIONAL TAX CREDIT FUND CIX L.P.,Domestic Entity Other,GREENWICH,CT
229,4717865,480228,"BOCAGE APARTMENTS, L.P.",Domestic Entity Other,OKLAHOMA CITY,OK
230,5512487,480228,"LIBERTY SQUARE PHASE THREE, LLC",Domestic Entity Other,MIAMI,FL
231,5512496,480228,BERKADIA HOUSING PARTNERSHIP IV 2020 LLC,Domestic Entity Other,PHILADELPHIA,PA
232,5492011,480228,ST. LOUIS EQUITY FUND 2005 L.L.C.,Domestic Entity Other,ST. LOUIS,MO
233,5610794,480228,"SOUTH WESTERN SH, L.P.",Domestic Entity Other,SAN DIEGO,CA
234,5442968,480228,"LIBERTY SQUARE PHASE TWO, LLC",Domestic Entity Other,MIAMI,FL
