RowId,RssdId,ParentId,InstitutionName,InstitutionType,City,StateOrCountry
999,5131365,4982449,SHANGHAI SHUNYANG BUSINESS INFORMATION CONSULTANCY PARTNERSHIP,International Nonbank Sub of Domestic Entities,SHANGHAI,"CHINA, PEOPLES REPUBLIC OF              "
1000,4982449,4367073,"HANGZHOU MORGAN STANLEY GRAND WAVES INVESTMENT MANAGEMENT PARTNERSHIP ENTERPRISE, L.P.",International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
1001,5679205,4367073,HANGZHOU GALAXY ENTERPRISE MANAGEMENT CONSULTING PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
1002,5590494,5679205,HANGZHOU MORGAN STANLEY CHANSON ENTERPRISE MANAGEMENT CONSULTING PARTNERSHIP (LIMITED PARTNERSHIP),International Nonbank Sub of Domestic Entities,HANGZHOU CITY,"CHINA, PEOPLES REPUBLIC OF              "
1003,4458971,4367073,"HANGZHOU MORGAN STANLEY INVESTMENT CONSULTING PARTNERSHIP ENTERPRISE, L.P.",International Nonbank Sub of Domestic Entities,HANGZHOU,"CHINA, PEOPLES REPUBLIC OF              "
1004,4369040,3936708,MORGAN STANLEY UK FINANCING II LP,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1005,3934610,3936708,MORGAN STANLEY TURNBERRY LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1006,3937077,3934610,MORGAN STANLEY MONTGOMERIE INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1007,4165569,3937077,MORGAN STANLEY EQUITY DERIVATIVE SERVICES (LUXEMBOURG) S.A R.L,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
1008,3936490,3937077,MORGAN STANLEY MALLARD INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1009,3936397,3936490,MORGAN STANLEY MILLBRAE INVESTMENTS B.V.,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1010,3949614,3937077,MORGAN STANLEY LANGTREE INVESTMENTS B.V.,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1011,3934535,3936708,MORGAN STANLEY B.V.,International Nonbank Sub of Domestic Entities,AMSTERDAM,NETHERLANDS                             
1012,4057244,3936708,MORGAN STANLEY INDIA PRIMARY DEALER PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1013,3934423,3936708,MORGAN STANLEY INTERNATIONAL FINANCE S. A.,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
1014,4165550,3934423,MORGAN STANLEY LUXEMBOURG FINANCING I S.A R.L,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
1015,3930126,3934423,MORGAN STANLEY CAPITAL HOLDINGS,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1016,4057301,3936708,MORGAN STANLEY COMMODITIES TRADING HONG KONG HOLDINGS LIMITED,International Nonbank Sub of Domestic Entities,KOWLOON,HONG KONG                               
1017,4048907,3936708,MS CHINA 16 LIMITED,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
1018,3958906,3936708,MORGAN STANLEY INVESTMENTS (MAURITIUS) LIMITED,International Nonbank Sub of Domestic Entities,EBENE,MAURITIUS                               
1019,5588893,3936708,EATON VANCE MANAGEMENT (INTERNATIONAL) LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1020,3934094,3936708,MS EQUITY FINANCING SERVICES (LUXEMBOURG) S.A.R.L.,International Nonbank Sub of Domestic Entities,LUXEMBOURG,LUXEMBOURG                              
1021,5588884,3936708,EATON VANCE ASIA PACIFIC LTD.,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
1022,5588923,3936708,EATON VANCE ADVISERS INTERNATIONAL LTD,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1023,5588969,3936708,EATON VANCE MANAGEMENT CANADA ULC,Domestic Entity Other,NEW YORK,NY
1024,3958456,3936708,MORGAN STANLEY SAUDI ARABIA,International Nonbank Sub of Domestic Entities,RIYADH,SAUDI ARABIA                            
1025,3958522,3936708,BANCO MORGAN STANLEY S.A.,International Nonbank Sub of Domestic Entities,SAO PAULO,BRAZIL                                  
1026,4052267,3936708,"MORGAN STANLEY CAPITAL, S.A. DE C.V.",International Nonbank Sub of Domestic Entities,MEXICO CITY,MEXICO                                  
1027,4125732,3936708,LIMITED LIABILITY COMPANY MORGAN STANLEY UKRAINE,International Nonbank Sub of Domestic Entities,KIEV,UKRAINE                                 
1028,5632974,3936708,MORGAN STANLEY MANAGEMENT SERVICE (SINGAPORE) PTE. LTD.,Data Processing Servicer,SINGAPORE,SINGAPORE                               
1029,3937095,3936708,MORGAN STANLEY MAURITIUS COMPANY LIMITED,International Nonbank Sub of Domestic Entities,EBENE,MAURITIUS                               
1030,4033958,3937095,MORGAN STANLEY INDIA SECURITIES PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1031,4057244,4033958,MORGAN STANLEY INDIA PRIMARY DEALER PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1032,4056377,4033958,MORGAN STANLEY INDIA FINANCIAL SERVICES PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1033,4033949,4033958,MORGAN STANLEY INDIA COMPANY PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1034,4056377,4033949,MORGAN STANLEY INDIA FINANCIAL SERVICES PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1035,4058652,3937095,MORGAN STANLEY ADVANTAGE SERVICES PRIVATE LIMITED,Data Processing Servicer,MUMBAI,INDIA (OTHER)                           
1036,4057244,3937095,MORGAN STANLEY INDIA PRIMARY DEALER PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1037,3958483,3937095,MORGAN STANLEY INVESTMENT MANAGEMENT PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1038,4033958,3958483,MORGAN STANLEY INDIA SECURITIES PRIVATE LIMITED,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1039,5089970,3958483,NORTH HAVEN INDIA INFRASTRUCTURE FUND,International Nonbank Sub of Domestic Entities,MUMBAI,INDIA (OTHER)                           
1040,3953666,3937095,ELDERSLIE LIMITED,International Nonbank Sub of Domestic Entities,GEORGE TOWN,CAYMAN ISLANDS                          
1041,3936753,3936708,EUROPEAN PRINCIPAL ASSETS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1042,3936548,3936708,MORGAN STANLEY JUBILEE INVESTMENTS LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1043,4369040,3936548,MORGAN STANLEY UK FINANCING II LP,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1044,3934535,3936548,MORGAN STANLEY B.V.,International Nonbank Sub of Domestic Entities,AMSTERDAM,NETHERLANDS                             
1045,3949584,3936548,ARCHIMEDES INVESTMENTS COOPERATIEVE U.A.,International Nonbank Sub of Domestic Entities,AMSTERDAM,NETHERLANDS                             
1046,3936409,3936708,MORGAN STANLEY SYRAH ONE LIMITED,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1047,3934834,3936409,MORGAN STANLEY CEDAR 3 LIMITED,International Nonbank Sub of Domestic Entities,LONDON,ENGLAND                                 
1048,3934768,3934834,MORGAN STANLEY CEDAR 4 LIMITED,International Nonbank Sub of Domestic Entities,LONDON,UNITED KINGDOM  (OTHER)                 
1049,3936436,3936708,MORGAN STANLEY REALTY INCORPORATED,Domestic Entity Other,NEW YORK,NY
1050,3936463,3936708,MSDW INVESTMENT HOLDINGS (US) LLC,Domestic Entity Other,NEW YORK,NY
